Portco,PE Firm,Website,Gross Annual Revenue (USD),Cloud_Provider1,Cloud_Provider2,Cloud_Provider3
BoondManager,Expedition Growth Capital,https://www.boondmanager.com/en/,"$10,800,000",Unknown,,
Xensam,Expedition Growth Capital,https://xensam.com/,"$15,000,000",Azure,,
Rentman,Expedition Growth Capital,https://rentman.io/,"$7,800,000",AWS,,
Factbird,Expedition Growth Capital,https://www.factbird.com/,"$5,400,000",AWS,,
Dougs,Expedition Growth Capital,https://www.dougs.fr/,"$16,400,000",GCP,,
Ringover,Expedition Growth Capital,https://www.ringover.com/,"$54,300,000",Unknown,,
Pinpoint,Expedition Growth Capital,https://www.pinpointhq.com/,Unknown,Unknown,,
Lempire,Expedition Growth Capital,https://www.lempire.com/,"$10,000,000",Unknown,,
Oktopost,Expedition Growth Capital,https://www.oktopost.com/,Unknown,Unknown,,
Storykit,Expedition Growth Capital,https://storykit.io/,"$6,000,000",AWS,,
Omilia,Expedition Growth Capital,https://omilia.com/,"$35,000,000 - $76,100,000",AWS,,
Kentico,Expedition Growth Capital,https://www.kentico.com/,"$42,000,000 - $57,100,000",AWS,Azure,
Kontent.ai,Expedition Growth Capital,https://kontent.ai/,Unknown,Azure,,
Batch,Expedition Growth Capital,https://batch.com/,Unknown,Unknown,,
Fabriq,Expedition Growth Capital,https://fabriq.tech/en/,Unknown,Unknown,,
ThreatSpike Labs,Expedition Growth Capital,https://www.threatspike.com/,Unknown,Unknown,,
epilot,Expedition Growth Capital,https://www.epilot.cloud/en,"$18,700,000",AWS,,