Portco,PE Firm,Website,Gross Annual Revenue,Industry_Vertical,Cloud_Provider1,Cloud_Provider2,Cloud_Provider3
Accommodations Plus International (API),Haveli Investments,https://www.apiglobalsolutions.com/,"$71,300,000",Travel Technology & Logistics,Unknown,Unknown,Unknown
AppViewX,Haveli Investments,https://www.appviewx.com/,"$140,700,000",Cybersecurity (Machine Identity),AWS,Azure,GCP
Behaviour Interactive,Haveli Investments,https://www.bhvr.com/,"$364,800,000",Video Game Development,AWS,Azure,GCP
Candivore,Haveli Investments,https://www.candivore.io/,"$21,400,000",Mobile Gaming,Unknown,Unknown,Unknown
Cendyn,Haveli Investments,https://www.cendyn.com/,"$116,400,000",Hospitality Cloud Technology,AWS,Azure,GCP
Certinia,Haveli Investments,https://www.certinia.com/,"$197,300,000",Enterprise Software (PSA/ERP),AWS,Azure,GCP
Couchbase,Haveli Investments,https://www.couchbase.com/,"$209,500,000",Cloud Database Platform,AWS,Azure,GCP
M-Files,Haveli Investments,https://www.m-files.com/,"$120,000,000",Knowledge Work Automation,Azure,AWS,GCP
Million Victories,Haveli Investments,https://millionvictories.com/,"$12,000,000",Mobile Gaming,GCP,Unknown,Unknown
Omeda Studios,Haveli Investments,https://www.omedastudios.com/,"$5,885,000",Video Game Development,AWS,Unknown,Unknown
ZeroFox,Haveli Investments,https://www.zerofox.com/,"$233,300,000",Cybersecurity (Digital Risk),GCP,AWS,Azure